Pop.,Tetra1,Tetra2,Tetra4,Tetra15,Tetra19,Tetra29,Tetra49
25,173182,262265,127127,248248,172172,232232,260260
25,179182,265271,124124,248256,175175,229248,263265
26,182182,273274,116116,248248,169169,220248,265271
26,179179,270273,124124,244244,172172,220220,265268
26,182182,270273,127127,248248,169169,182248,268268
26,167179,270274,124127,244248,169169,232232,260265
26,179185,273274,124124,248248,169169,220220,263265
26,179182,262273,124124,244248,169169,220220,268273
26,179182,270273,124127,248256,172172,220239,263263
26,179182,270273,124124,244248,172172,220248,268268
26,179182,265274,124124,244248,169169,194213,265268
26,170170,273274,124124,235235,169169,194248,263268
26,179179,262270,124124,244248,169169,213213,265265
26,179179,270273,124124,244248,172172,194194,263265
26,179182,262274,116124,244248,169169,213220,265273
26,182182,262270,124124,235248,172175,232239,265271
27,182185,270274,124124,235235,172172,220220,263268
27,179179,274282,124127,235244,166166,220239,263263
27,167185,265274,116127,235248,166166,220220,263265
27,182185,270274,124124,235235,172172,220220,263268
27,179179,274282,124127,235244,166166,220239,263263
27,167185,265274,116127,235248,166166,220220,263265
28,179179,253273,124124,235235,166166,226226,263263
28,167182,268273,121124,244248,175175,220232,265265
28,173173,262274,124124,244248,175175,239239,263271
28,179191,273273,124124,235248,172172,223223,271271
28,179182,253262,124124,248248,166166,226229,263265
28,167179,273274,124124,235244,175175,220239,263265
28,167179,273273,124124,248248,169169,236236,263263
28,167179,262274,116127,244248,175175,232239,263276
28,173182,273273,124127,248248,172172,232239,263271
28,179179,262273,124127,248248,172172,232239,263271
28,179191,253273,124124,244248,166166,229236,260260
28,173179,265273,116124,244248,172172,226232,263263
28,179179,262265,124124,244248,172172,200200,271276
29,179179,270273,124124,248248,166175,236236,263265
29,167179,262273,124124,248248,172172,226226,265271
29,167176,253270,124124,235235,172172,226226,263263
29,167167,273282,124124,248248,169169,229229,263271
29,182191,270273,124124,235248,175175,200200,271271
29,182191,262270,124124,244248,169169,226236,265271
29,179182,273273,124124,235235,172172,204204,263263
29,167182,273273,124124,248248,166166,236248,263265
29,170182,274274,124124,235248,175175,236236,263263
29,167179,262273,124124,235248,172172,236236,265265
29,179182,273273,124124,248248,175175,229229,263276
29,179185,262279,124124,235235,175175,226226,268268
30,179182,273273,124124,248248,166166,239239,265265
30,167167,262262,121124,248248,172172,200200,265265
30,179182,262273,124124,248248,166166,239239,265290
30,167167,262273,121124,248256,172172,182182,271271
30,167167,262262,121124,248248,172172,200200,265271
30,167167,262273,121121,248248,172172,200200,265271
